date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:21:59	58777/58777	---MCZ	200	added ('OK')	text/html	etag:%2299efee185924131da21a6f56bddcecc4-ssl-df%22	https://davis-html.netlify.app/index2	C:/Project/https___davis-html.netlify.app_index2/davis-html.netlify.app/index2.html	(from )
00:22:00	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1605816232-ssl-df	https://davis-html.netlify.app/robots.txt		(from )
00:22:00	3092/3092	---M--	200	added ('OK')	image/png	etag:%229049589c74994727586605b76c105b6b-ssl%22	https://davis-html.netlify.app/assets/img/favicon.png	C:/Project/https___davis-html.netlify.app_index2/davis-html.netlify.app/assets/img/favicon.png	(from https://davis-html.netlify.app/index2)
00:22:01	155758/155758	---M-Z	200	added ('OK')	text/css	etag:%221138221a713d7a1b1191b84f69d5ee30-ssl-df%22	https://davis-html.netlify.app/assets/css/bootstrap.min.css	C:/Project/https___davis-html.netlify.app_index2/davis-html.netlify.app/assets/css/bootstrap.min.css	(from https://davis-html.netlify.app/index2)
00:22:01	73063/73063	---M-Z	200	added ('OK')	text/css	etag:%2233e914bd81f09173e893e21781330960-ssl-df%22	https://davis-html.netlify.app/assets/css/fontawesome.css	C:/Project/https___davis-html.netlify.app_index2/davis-html.netlify.app/assets/css/fontawesome.css	(from https://davis-html.netlify.app/index2)
00:22:02	1652/1652	---M-Z	200	added ('OK')	text/css	etag:%228c2a55e57218a9c5e33eb970f5166752-ssl-df%22	https://davis-html.netlify.app/assets/css/slick.css	C:/Project/https___davis-html.netlify.app_index2/davis-html.netlify.app/assets/css/slick.css	(from https://davis-html.netlify.app/index2)
00:22:03	24231/24231	---MCZ	200	added ('OK')	text/css	etag:%22988854662dd999a99a268a0f19b276ca-ssl-df%22	https://davis-html.netlify.app/assets/css/lightgallery.min.css	C:/Project/https___davis-html.netlify.app_index2/davis-html.netlify.app/assets/css/lightgallery.min.css	(from https://davis-html.netlify.app/index2)
00:22:04	77749/77749	---MCZ	200	added ('OK')	text/css	etag:%222455f8ab80af0dd00a18af1b94070190-ssl-df%22	https://davis-html.netlify.app/assets/css/animate.css	C:/Project/https___davis-html.netlify.app_index2/davis-html.netlify.app/assets/css/animate.css	(from https://davis-html.netlify.app/index2)
00:22:04	59754/59754	---M-Z	200	added ('OK')	text/css	etag:%22d078caced4cf4742c3b5c303a46dd935-ssl-df%22	https://davis-html.netlify.app/assets/css/style.css	C:/Project/https___davis-html.netlify.app_index2/davis-html.netlify.app/assets/css/style.css	(from https://davis-html.netlify.app/index2)
00:22:05	114816/114816	---M--	200	added ('OK')	image/jpeg	etag:%228ed561163bf7fd7efc27d1386522f78d-ssl%22	https://davis-html.netlify.app/assets/img/section/hero-img.jpg	C:/Project/https___davis-html.netlify.app_index2/davis-html.netlify.app/assets/img/section/hero-img.jpg	(from https://davis-html.netlify.app/index2)
00:22:05	69470/69470	---M--	200	added ('OK')	image/jpeg	etag:%22b92a0918b3d8c7b21d582252e3dd897f-ssl%22	https://davis-html.netlify.app/assets/img/section/about.jpg	C:/Project/https___davis-html.netlify.app_index2/davis-html.netlify.app/assets/img/section/about.jpg	(from https://davis-html.netlify.app/index2)
00:22:06	855/855	---M--	200	added ('OK')	image/png	etag:%2263d272253870bd6a17c6f7b07145d4da-ssl%22	https://davis-html.netlify.app/assets/img/icon/resume-icon1.png	C:/Project/https___davis-html.netlify.app_index2/davis-html.netlify.app/assets/img/icon/resume-icon1.png	(from https://davis-html.netlify.app/index2)
00:22:07	1190/1190	---M--	200	added ('OK')	image/png	etag:%224821922dc4283e7f157385ac4f06ff22-ssl%22	https://davis-html.netlify.app/assets/img/icon/resume-icon2.png	C:/Project/https___davis-html.netlify.app_index2/davis-html.netlify.app/assets/img/icon/resume-icon2.png	(from https://davis-html.netlify.app/index2)
00:22:07	58597/58597	---M--	200	added ('OK')	image/jpeg	etag:%222b8df99ede5bf1003260c7545fab3ad2-ssl%22	https://davis-html.netlify.app/assets/img/portfolio/portfolio1_lg.jpg	C:/Project/https___davis-html.netlify.app_index2/davis-html.netlify.app/assets/img/portfolio/portfolio1_lg.jpg	(from https://davis-html.netlify.app/index2)
00:22:08	20216/20216	---M--	200	added ('OK')	image/jpeg	etag:%2240b7cbb5f88e061030faef97433f32dd-ssl%22	https://davis-html.netlify.app/assets/img/portfolio/portfolio1.jpg	C:/Project/https___davis-html.netlify.app_index2/davis-html.netlify.app/assets/img/portfolio/portfolio1.jpg	(from https://davis-html.netlify.app/index2)
00:22:09	88925/88925	---M--	200	added ('OK')	image/jpeg	etag:%22fe76be03f9f631a5982e7062ab500c6d-ssl%22	https://davis-html.netlify.app/assets/img/portfolio/portfolio2_lg.jpg	C:/Project/https___davis-html.netlify.app_index2/davis-html.netlify.app/assets/img/portfolio/portfolio2_lg.jpg	(from https://davis-html.netlify.app/index2)
